15824;1;18000;7200000
15823;1;18000;7200000
15821;1;24000;9600000
15820;1;24000;9600000
15818;1;30000;12000000
15817;1;30000;12000000
15816;1;18000;7200000
17498;1;180000;72000000
21740;5000;2400;2400000
23025;5000;1600;1600000
23009;5000;1200;1200000
15681;1;45000;18000000
15790;1;12000;4800000
15675;1;45000;18000000
16062;1;30000;12000000
15815;1;24000;9600000
15814;1;30000;12000000
15909;1;9000;3600000
15910;5;27000;10800000
17499;1;11250;4500000
15915;1;9000;3600000
15916;5;27000;10800000
17496;1;11250;4500000
28377;1;24000;9600000
16064;1;24000;9600000
17619;1;80000;0
27423;5000;4200;4200000
27405;5000;3000;3000000
27447;5000;3000;3000000
27371;5000;2400;2400000
27315;5000;1850;1850000
27351;5000;5500;5500000
23049;5000;2400;2400000
23035;5000;1600;1600000
23019;5000;1200;1200000
23053;5000;2400;2400000
23039;5000;1600;1600000
23023;5000;1200;1200000
15911;1;9000;3600000
15912;5;27000;10800000
17495;1;11250;4500000
15931;1;56250;22500000
15900;1;50625;20250000
23047;5000;2400;2400000
23033;5000;1600;1600000
23017;5000;1200;1200000
16068;1;18000;7200000
15929;1;45000;18000000
15899;1;40500;16200000
27377;5000;4200;4200000
27419;5000;3000;3000000
27435;5000;3000;3000000
27387;5000;2400;2400000
27321;5000;1850;1850000
27339;5000;5500;5500000
27429;5000;4200;4200000
27401;5000;3000;3000000
27453;5000;3000;3000000
27381;5000;2400;2400000
27327;5000;1850;1850000
27359;5000;5500;5500000
23041;5000;2400;2400000
23027;5000;1600;1600000
23011;5000;1200;1200000
16061;1;24000;9600000
16065;1;18000;7200000
27395;5000;4200;4200000
27413;5000;3000;3000000
27441;5000;3000;3000000
27361;5000;2400;2400000
27333;5000;1850;1850000
27345;5000;5500;5500000
15905;1;50625;20250000
15906;5;151875;60750000
15925;1;33750;13500000
15898;1;30375;12150000
17500;1;20000;8000000
17501;5;60000;24000000
15913;1;9000;3600000
15914;5;27000;10800000
17497;1;11250;4500000
23045;5000;2400;2400000
23031;5000;1600;1600000
23015;5000;1200;1200000
16067;1;30000;12000000
23051;5000;2400;2400000
23037;5000;1600;1600000
23021;5000;1200;1200000
23043;5000;2400;2400000
23029;5000;1600;1600000
23013;5000;1200;1200000
15889;1;14000;5600000
15890;5;42000;16800000
15887;1;14000;5600000
15888;5;42000;16800000
15897;1;60750;24300000
24593;100;500;0
17634;1;240000;0
9943;1;5250;5250000
10222;1;65000;65000000
10221;1;12000;12000000
3894;1;15000;10000000
27113;1;375;375000
13241;1;10875;10875000
27112;1;79375;79375000
27115;1;375;375000
13242;1;10875;10875000
27114;1;79375;79375000
13287;1;750;750000
14298;1;2500;2500000
13284;1;750;750000
14297;1;2500;2500000
13285;1;750;750000
14296;1;2500;2500000
13283;1;750;750000
14295;1;2500;2500000
13286;1;750;750000
14299;1;2500;2500000
9941;1;5250;5250000
10209;1;65000;65000000
10208;1;12000;12000000
9942;1;5250;5250000
10213;1;65000;65000000
10212;1;12000;12000000
9899;1;5250;5250000
10217;1;65000;65000000
10216;1;12000;12000000
29340;1;90000;0
27196;1;10875;10875000
27193;1;375;375000
27187;1;10875;10875000
27192;1;79375;79375000
27191;1;375;375000
27186;1;10875;10875000
27190;1;79375;79375000
27195;1;375;375000
27188;1;10875;10875000
27194;1;79375;79375000
27260;1;10875;10875000
