11011;10000
11129;500
11132;500
11134;500
11172;2500
11174;2500
11176;2500
11178;2500
11182;2500
11184;2500
11186;2500
11188;2500
11190;2500
11192;2500
11194;2500
11196;2500
11198;2500
11200;2500
11202;2500
11285;8
11365;2500
11371;2500
11377;2500
11379;2500
11381;2500
11387;2500
11393;2500
11400;2500
11476;15
11486;15
11567;10000000
11855;0.5
11936;50000
11938;50000
11940;2500
11942;2500
11957;10000
11959;10000
11961;10000
11963;10000
11965;10000
11969;10000
11971;10000
11987;10000
11989;10000
11993;10000
11995;10000
11999;10000
12003;10000
12011;10000
12015;10000
12017;10000
12019;10000
12021;10000
12023;10000
12032;2500
12034;2500
12042;2500
12044;2500
1223;16
1224;0.3
1225;16
1226;2
1227;0.6
1228;0.15
1229;5
1230;0.1
1231;3
12608;0.005
12612;0.005
12614;0.005
12620;0.005
12625;0.005
12729;20000
12731;20000
12733;20000
12735;20000
12743;20000
12745;20000
12747;20000
12753;20000
12789;0.025
12791;0.05
13202;50000
16227;15000
16229;15000
16231;15000
16233;15000
16236;5000
16238;5000
16240;5000
16242;5000
16272;0.4
16273;0.4
16274;0.15
16275;3
16633;0.2
16634;0.2
16635;0.2
16636;0.2
16639;0.4
16640;0.4
16641;0.6
16643;0.4
16644;1
16646;0.8
16647;0.8
16648;0.8
16650;1
16651;1
16670;0.05
16671;0.05
16672;0.05
16673;0.05
16678;0.075
16679;0.15
16682;0.6
16683;1
17392;6
17436;8
17440;3
17441;3
17445;3
17449;2
17452;1.2
17453;1.2
17455;0.35
17456;0.35
17459;0.3
17460;0.3
17463;0.15
17464;0.15
17470;0.1
17471;0.1
17476;3750
17478;3750
17480;3750
17619;2500
17634;10000
17636;50000
17703;2500
17709;10000
17715;10000
17718;10000
17720;10000
17722;10000
17726;50000
17728;50000
17732;50000
17736;50000
17738;50000
17740;50000
17812;2500
17841;2500
17843;10000
17867;0.6
17868;0.6
17887;0.15
17888;0.15
17889;0.15
17898;2
17918;50000
17920;50000
17922;10000
17924;2500
17926;2500
17928;2500
17930;2500
17932;2500
18;0.35
184;0.00425
185;0.005
19;16
1944;20000
19720;1000000
19722;1000000
19724;1000000
19726;1000000
19744;20000
20;1.2
2006;10000
20125;10000
20183;1000000
20185;1000000
20187;1000000
20189;1000000
202;0.05
203;0.05
204;0.05
205;0.05
206;0.03
207;0.03
2073;0.01
2078;2500
208;0.03
209;0.03
21;3
210;0.015
21097;500
211;0.015
212;0.015
213;0.015
